,Name,Wins,Losses,Draws,Height,Weight,Reach,Stance,Age,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
0,Shamil Abdurakhimov,20,6,0,190.5,235,76,1,40,2.53,43,2.69,58,1.14,24,47,0.2
1,Daichi Abe,6,2,0,180.3,170,71,1,30,3.80,33,4.49,56,0.33,50,0,0.0
2,Klidson Abreu,15,4,0,182.9,205,74,1,28,2.05,40,2.90,55,0.64,20,80,0.0
3,Juan Adams,5,3,0,195.6,265,80,1,29,7.09,55,4.06,34,0.91,66,57,0.0
4,Anthony Adams,8,2,0,185.4,185,76,1,33,3.17,41,5.93,44,0.00,0,0,0.0
5,Zarrukh Adashev,4,3,0,165.1,125,65,2,29,3.54,39,2.91,65,0.00,0,100,0.5
6,Israel Adesanya,21,1,0,193.0,185,80,3,32,3.94,50,2.59,62,0.00,0,80,0.2
7,Mariya Agapova,10,2,0,167.6,125,68,2,24,5.20,53,4.63,53,0.85,66,33,0.8
8,Jessica Aguilar,20,8,0,160.0,115,63,1,39,4.93,50,7.19,53,0.94,25,50,0.2
9,Kevin Aguilar,17,5,0,170.2,155,73,1,33,3.96,40,4.81,52,0.16,16,78,0.0
10,Christian Aguilera,14,8,0,175.3,170,72,3,30,2.54,37,4.04,48,0.00,0,60,0.0
11,Omari Akhmedov,21,6,1,182.9,185,73,1,34,2.97,34,2.84,55,2.58,45,65,0.2
12,Yoshihiro Akiyama,14,6,0,177.8,170,75,1,46,3.10,41,3.62,57,2.29,67,92,1.0
13,Rostem Akman,6,2,0,177.8,170,72,3,29,1.80,25,3.97,57,1.00,40,87,0.0
14,Mostapha Al-Turk,6,6,0,188.0,245,77,1,48,1.36,19,3.61,53,0.00,0,0,0.0
15,Herdem Alacabek,5,1,0,188.0,205,75,1,30,3.84,65,6.66,23,2.06,50,42,0.0
16, Alatengheili,14,8,2,165.1,135,66,1,29,2.75,32,5.10,58,1.75,33,72,0.0
17,Amir Albazi,14,1,0,165.1,125,68,1,28,4.06,40,3.15,58,2.28,75,66,0.8
18,John Albert,6,5,0,172.7,135,68,1,35,3.05,49,2.82,35,0.00,0,50,6.1
19,Junior Albini,14,6,0,190.5,264,74,1,30,3.98,51,6.08,52,1.54,37,100,0.0
20,Aleksandra Albu,3,2,0,157.5,115,63,1,31,4.83,47,5.56,38,2.27,50,77,0.4
21,Iuri Alcantara,35,10,0,175.3,135,71,2,41,2.72,45,2.79,49,1.44,62,60,0.8
