Date,Fighter 1,Fighter 2,Result,Split Dec?
02/1/2010,Rashad Evans,Thiago Silva,1,0
02/1/2010,Paul Daley,Dustin Hazelett,1,0
02/1/2010,Sam Stout,Joe Lauzon,1,0
02/1/2010,Jim Miller,Duane Ludwig,1,0
02/1/2010,Junior Dos Santos,Gilbert Yvel,1,0
02/1/2010,Martin Kampmann,Jacob Volkmann,1,0
02/1/2010,Cole Miller,Dan Lauzon,1,0
02/1/2010,Mark Munoz,Ryan Jensen,1,0
02/1/2010,Jake Ellenberger,Mike Pyle,1,0
02/1/2010,Rafaello Oliveira,John Gunderson,1,0
11/1/2010,Gray Maynard,Nate Diaz,1,1
11/1/2010,Evan Dunham,Efrain Escudero,1,0
11/1/2010,Aaron Simpson,Tom Lawlor,1,1
11/1/2010,Amir Sadollah,Brad Blackburn,1,0
11/1/2010,Chris Leben,Jay Silva,1,0
11/1/2010,Rick Story,Jesse Lennox,1,1
11/1/2010,Thiago Tavares,Nik Lentz,3,1
11/1/2010,Rory MacDonald,Mike Guymon,1,0
11/1/2010,Rafael Dos Anjos,Kyle Bradley,1,0
11/1/2010,Gerald Harris,John Salter,1,0
11/1/2010,Nick Catone,Jesse Forbes,1,1
06/2/2010,Randy Couture,Mark Coleman,1,0
06/2/2010,Chael Sonnen,Nate Marquardt,1,0
06/2/2010,Paulo Thiago,Mike Swick,1,0
06/2/2010,Demian Maia,Dan Miller,1,0
06/2/2010,Matt Serra,Frank Trigg,1,0
06/2/2010,Mac Danzig,Justin Buchholz,1,0
06/2/2010,Melvin Guillard,Ronys Torres,1,0
06/2/2010,Rob Emerson,Phillipe Nover,1,0
06/2/2010,Phil Davis,Brian Stann,1,0
06/2/2010,Chris Tuchscherer,Tim Hague,1,0
06/2/2010,Joey Beltran,Rolles Gracie,1,0
20/2/2010,Cain Velasquez,Antonio Rodrigo Nogueira,1,0
20/2/2010,Wanderlei Silva,Michael Bisping,1,0
20/2/2010,George Sotiropoulos,Joe Stevenson,1,0
20/2/2010,Ryan Bader,Keith Jardine,1,0
20/2/2010,Mirko Filipovic,Anthony Perosh,1,0
20/2/2010,Krzysztof Soszynski,Stephan Bonnar,1,0
20/2/2010,Chris Lytle,Brian Foster,1,0
20/2/2010,CB Dollaway,Goran Reljic,1,0
20/2/2010,James Te Huna,Igor Pokrajac,1,0
21/3/2010,Brandon Vera,Jon Jones,2,0
21/3/2010,Junior Dos Santos,Gabriel Gonzaga,1,0
21/3/2010,Cheick Kongo,Paul Buentello,1,0
21/3/2010,Alessio Sakara,James Irvin,1,0
21/3/2010,Clay Guida,Shannon Gugerty,1,0
21/3/2010,Eliot Marshall,Vladimir Matyushenko,2,1
21/3/2010,Duane Ludwig,Darren Elkins,2,0
21/3/2010,John Howard,Daniel Roberts,1,0
21/3/2010,Brendan Schaub,Chase Gormley,1,0
21/3/2010,Mike Pierce,Julio Paulino,1,0
21/3/2010,Eric Schafer,Jason Brilz,2,0
